/var/spool/slurm/slurmd/job775448/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac2/lib/python3.13/site-packages/torchio/data/image.py:253: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
 ----------------- Run Setup Summary -----------------
JOB NAME: lilac_rt_order_50
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: resnet18_3D
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 33203776
 ----------------- Training initiated -----------------
lr_scheduler.StepLR is set:  [20.0, 0.5]

[Epoch 0/100] [Batch 78/1393] [ loss: 1.925365 ] ETA: 1 day, 17:35:57.128440
[Epoch 0/100] [Batch 79/1393] [ loss: 0.264153 ] ETA: 1 day, 18:29:26.002745
[Epoch 0/100] [Batch 80/1393] [ loss: 2.255161 ] ETA: 1 day, 16:59:21.010337
[Epoch 0/100] [Batch 81/1393] [ loss: 6.669707 ] ETA: 1 day, 19:09:51.862261
[Epoch 0/100] [Batch 82/1393] [ loss: 2.354755 ] ETA: 1 day, 19:53:03.949801
[Epoch 0/100] [Batch 83/1393] [ loss: 0.886179 ] ETA: 1 day, 18:05:57.025383
[Epoch 0/100] [Batch 84/1393] [ loss: 1.250484 ] ETA: 1 day, 16:20:36.074741
[Epoch 0/100] [Batch 85/1393] [ loss: 0.933744 ] ETA: 1 day, 19:00:43.622185
[Epoch 0/100] [Batch 86/1393] [ loss: 3.623051 ] ETA: 1 day, 19:07:47.224570
[Epoch 0/100] [Batch 87/1393] [ loss: 0.577822 ] ETA: 1 day, 20:59:49.669551
[Epoch 0/100] [Batch 88/1393] [ loss: 0.972711 ] ETA: 1 day, 17:48:36.761696
[Epoch 0/100] [Batch 89/1393] [ loss: 1.045226 ] ETA: 1 day, 18:43:01.259495
[Epoch 0/100] [Batch 90/1393] [ loss: 1.384382 ] ETA: 1 day, 17:57:31.119683
[Epoch 0/100] [Batch 91/1393] [ loss: 1.303531 ] ETA: 1 day, 19:24:23.886795
[Epoch 0/100] [Batch 92/1393] [ loss: 0.679810 ] ETA: 1 day, 16:57:13.421581
[Epoch 0/100] [Batch 93/1393] [ loss: 1.135768 ] ETA: 2 days, 1:13:49.927144
[Epoch 0/100] [Batch 94/1393] [ loss: 0.847555 ] ETA: 1 day, 17:39:09.873188
[Epoch 0/100] [Batch 95/1393] [ loss: 0.994594 ] ETA: 1 day, 15:27:34.479790
[Epoch 0/100] [Batch 96/1393] [ loss: 0.580098 ] ETA: 1 day, 22:47:25.939047
[Epoch 0/100] [Batch 97/1393] [ loss: 2.269873 ] ETA: 1 day, 15:52:04.385627
[Epoch 0/100] [Batch 98/1393] [ loss: 2.173343 ] ETA: 1 day, 19:21:02.541165
[Epoch 0/100] [Batch 99/1393] [ loss: 1.080392 ] ETA: 1 day, 17:08:18.199841
[Epoch 0/100] [Batch 100/1393] [ loss: 0.751378 ] ETA: 1 day, 15:38:58.191605
[Epoch 0/100] [Batch 101/1393] [ loss: 0.803779 ] ETA: 1 day, 20:07:13.696668
[Epoch 0/100] [Batch 102/1393] [ loss: 1.478194 ] ETA: 1 day, 17:28:50.010414
[Epoch 0/100] [Batch 103/1393] [ loss: 3.056307 ] ETA: 1 day, 17:00:12.564552
[Epoch 0/100] [Batch 104/1393] [ loss: 1.182257 ] ETA: 1 day, 18:37:32.666196
[Epoch 0/100] [Batch 105/1393] [ loss: 0.941724 ] ETA: 1 day, 18:41:44.678538
[Epoch 0/100] [Batch 106/1393] [ loss: 1.641961 ] ETA: 1 day, 17:58:39.147431
[Epoch 0/100] [Batch 107/1393] [ loss: 0.885890 ] ETA: 1 day, 20:15:24.908787
[Epoch 0/100] [Batch 108/1393] [ loss: 0.602541 ] ETA: 1 day, 18:41:50.956560
[Epoch 0/100] [Batch 109/1393] [ loss: 0.677692 ] ETA: 1 day, 20:36:52.083875
[Epoch 0/100] [Batch 110/1393] [ loss: 1.863993 ] ETA: 1 day, 18:45:30.592890
[Epoch 0/100] [Batch 111/1393] [ loss: 1.517663 ] ETA: 1 day, 17:02:18.182458
[Epoch 0/100] [Batch 112/1393] [ loss: 0.703843 ] ETA: 1 day, 17:29:38.119543
[Epoch 0/100] [Batch 113/1393] [ loss: 0.634481 ] ETA: 2 days, 3:47:01.101922
[Epoch 0/100] [Batch 114/1393] [ loss: 2.157349 ] ETA: 1 day, 17:40:48.988540
[Epoch 0/100] [Batch 115/1393] [ loss: 0.630497 ] ETA: 1 day, 18:55:30.378009
[Epoch 0/100] [Batch 116/1393] [ loss: 2.007458 ] ETA: 1 day, 20:16:50.608551
[Epoch 0/100] [Batch 117/1393] [ loss: 0.969896 ] ETA: 1 day, 18:22:23.068623
